,Unnamed: 0,id,host_is_superhost,host_identity_verified,bedrooms,beds,accommodates,number_of_reviews,review_scores_rating,reviews_per_month,amenities_count,host_listings_count,instant_bookable,reviews_per_month.1,price,predicted
1389,5643,12367052,0,1,1.0,1.0,2,32,95.0,0.59,12,1.0,0,0.59,100,112.55036793490945
1390,5649,12380044,0,0,3.0,5.0,4,16,97.0,0.3,17,2.0,0,0.3,105,203.34805159802772
1391,5650,12382693,0,1,1.0,1.0,2,1,100.0,0.02,14,1.0,0,0.02,120,120.77995005079735
1392,5653,12391628,0,0,1.0,1.0,3,1,0.0,0.02,5,1.0,0,0.02,120,138.11633639819365
1393,5664,12415931,1,1,0.0,2.0,4,245,97.0,4.57,30,1.0,0,4.57,70,123.53904739190303
1394,5665,12416356,0,0,1.0,2.0,3,1,80.0,0.02,8,2.0,0,0.02,100,135.22987217380833
1395,5668,12427175,0,1,1.0,1.0,2,13,95.0,0.24,24,1.0,1,0.24,90,133.68553770853242
1396,5669,12427608,0,0,1.0,1.0,2,37,97.0,0.68,6,1.0,0,0.68,80,101.22708683788801
1397,5670,12427626,0,0,3.0,3.0,4,10,96.0,0.2,29,1.0,0,0.2,180,224.78252852498997
1398,5676,12447310,0,1,3.0,3.0,5,25,99.0,0.46,15,1.0,0,0.46,395,227.9632728052349
1399,5678,12459664,0,1,1.0,2.0,3,15,93.0,0.29,19,1.0,0,0.29,125,148.41045934258403
1400,5682,12464945,0,1,3.0,6.0,6,8,83.0,0.15,7,1.0,0,0.15,299,239.69042143661022
1401,5692,12485255,0,1,1.0,1.0,2,1,100.0,0.02,7,1.0,0,0.02,130,110.74989613325293
1402,5694,12487325,0,0,3.0,3.0,6,0,0.0,0.0,11,1.0,0,0.0,400,257.0204096345553
1403,5698,12500365,1,0,1.0,1.0,2,58,100.0,1.07,32,1.0,0,1.07,170,132.62746894840012
1404,5712,12528410,0,0,2.0,2.0,2,2,80.0,0.04,7,1.0,0,0.04,96,128.71216774172203
1405,5713,12530312,0,1,1.0,2.0,3,36,90.0,0.72,16,1.0,0,0.72,135,140.1603477588859
1406,5717,12534679,0,0,1.0,1.0,2,221,90.0,4.06,22,3.0,1,4.06,46,92.33007344208198
1407,5718,12538536,0,0,4.0,4.0,4,14,99.0,0.27,8,1.0,0,0.27,225,212.07868160759358
1408,5722,12548730,0,0,2.0,1.0,3,18,99.0,0.34,28,1.0,0,0.34,120,180.7533413113366
1409,5725,12551402,0,0,1.0,1.0,2,11,87.0,0.2,10,1.0,0,0.2,120,112.5313824683777
1410,5727,12552582,0,0,1.0,2.0,3,7,100.0,0.13,28,3.0,1,0.13,232,162.34471179779177
1411,5728,12553188,0,0,1.0,1.0,2,0,0.0,0.0,13,1.0,0,0.0,83,125.31170602305934
1412,5730,12555157,0,1,2.0,3.0,4,2,100.0,0.04,14,1.0,0,0.04,100,186.01694421935161
1413,5732,12558413,0,1,1.0,0.0,2,26,95.0,0.6,23,1.0,0,0.6,90,130.5038069302966
1414,5736,12564405,0,1,2.0,0.0,4,10,94.0,0.2,25,1.0,0,0.2,125,206.26413143055703
1415,5743,12574617,0,0,3.0,3.0,2,0,0.0,0.0,13,1.0,0,0.0,200,161.98297216181365
1416,5747,12579177,0,1,1.0,2.0,2,151,97.0,2.8,17,16.0,0,2.8,113,104.82528109846696
1417,5753,12596165,1,0,1.0,1.0,2,32,96.0,0.62,17,1.0,0,0.62,139,116.04664148227101
1418,5757,12598553,0,0,1.0,1.0,2,0,0.0,0.0,13,2.0,0,0.0,140,125.9315380123148
1419,5759,12598924,0,1,2.0,6.0,8,151,87.0,2.9,19,5.0,1,2.9,149,260.9899248348211
1420,5760,12599072,0,1,2.0,6.0,8,152,87.0,2.93,22,5.0,1,2.93,129,265.02849607192053
1421,5762,12602426,0,0,1.0,2.0,2,10,96.0,0.18,28,1.0,0,0.18,110,136.00053769932575
1422,5769,12620056,0,1,2.0,2.0,4,30,97.0,0.55,22,1.0,0,0.55,199,194.43158109730723
1423,5771,12628026,0,1,1.0,1.0,2,9,98.0,0.61,14,0.0,1,0.61,125,116.30608690792421
1424,5774,12635865,0,1,1.0,1.0,2,14,96.0,0.26,10,1.0,0,0.26,140,112.94476462599957
1425,5775,12639063,0,0,0.0,2.0,4,30,94.0,0.55,6,1.0,1,0.55,186,130.06268512257842
1426,5777,12641520,1,1,1.0,1.0,2,51,97.0,0.95,11,1.0,0,0.95,99,105.6526513159473
1427,5779,12642392,0,1,1.0,1.0,2,0,0.0,0.0,9,1.0,0,0.0,92,121.246221202141
1428,5795,12694820,0,1,2.0,2.0,4,22,96.0,0.42,13,2.0,0,0.42,90,183.590349934911
1429,5797,12697504,0,1,1.0,1.0,2,16,100.0,0.31,21,1.0,0,0.31,187,127.96256536012108
1430,5798,12699754,0,1,2.0,2.0,4,18,99.0,0.34,35,1.0,0,0.34,233,215.07222462701634
1431,5803,12717484,0,1,1.0,1.0,2,6,97.0,0.22,14,1.0,0,0.22,145,119.37547754413083
1432,5811,12752446,0,0,1.0,1.0,2,14,89.0,0.27,20,1.0,0,0.27,250,126.07544369620881
1433,5814,12759828,0,1,1.0,2.0,3,22,98.0,0.41,17,1.0,0,0.41,200,143.95056326081067
1434,5815,12761226,0,1,1.0,2.0,4,93,88.0,1.72,8,1.0,0,1.72,59,143.1078442112883
1435,5816,12761526,0,1,1.0,1.0,3,34,95.0,0.63,25,2.0,0,0.63,79,155.9105431417675
1436,5820,12771199,0,0,1.0,2.0,3,27,94.0,0.51,23,1.0,1,0.51,148,150.6179157670416
1437,5825,12774908,0,0,1.0,1.0,2,5,100.0,0.18,22,1.0,0,0.18,144,129.28881366225016
1438,5826,12779835,0,1,4.0,5.0,4,6,60.0,0.11,16,1.0,0,0.11,220,227.8197667905664
1439,5828,12786067,1,0,1.0,1.0,2,43,99.0,0.83,31,2.0,0,0.83,140,134.4356425830793
1440,5837,12795600,0,1,2.0,3.0,4,12,98.0,0.31,24,1.0,0,0.31,164,198.09087368310531
1441,5847,12816202,0,0,1.0,1.0,2,0,0.0,0.0,13,1.0,1,0.0,110,125.73587430865568
1442,5852,12820327,0,0,1.0,2.0,4,6,90.0,0.12,9,0.0,0,0.12,89,158.20508970795822
1443,5854,12822250,0,0,1.0,1.0,2,25,99.0,0.46,19,1.0,0,0.46,109,121.95016959286775
1444,5857,12824747,0,1,1.0,1.0,2,9,98.0,0.17,25,1.0,0,0.17,149,135.2215806351614
1445,5858,12826019,0,1,1.0,1.0,2,50,89.0,0.94,7,1.0,1,0.94,66,102.80645522630225
1446,5859,12832684,0,0,2.0,2.0,4,23,97.0,0.44,22,1.0,0,0.44,250,193.94781485156284
1447,5868,12842683,0,0,1.0,1.0,2,9,71.0,0.17,18,1.0,0,0.17,175,125.52772527523929
1448,5869,12849288,0,1,1.0,1.0,3,0,0.0,0.0,15,1.0,0,0.0,204,154.33551956356854
1449,5870,12849339,0,1,1.0,1.0,2,2,100.0,0.04,10,1.0,0,0.04,130,114.87337430418773
1450,5871,12850226,1,1,1.0,2.0,2,22,95.0,0.41,7,2.0,0,0.41,55,104.23727569944683
1451,5872,12850633,0,0,2.0,3.0,4,13,94.0,0.25,14,1.0,0,0.25,155,182.72714100091673
1452,5873,12850813,0,0,2.0,2.0,4,1,100.0,0.02,17,1.0,0,0.02,110,190.72951762440823
1453,5875,12859176,0,0,1.0,2.0,4,16,91.0,0.31,26,1.0,0,0.31,342,181.23147071511005
1454,5876,12860279,0,1,1.0,1.0,2,5,92.0,0.12,12,1.0,0,0.12,40,117.61501520709334
1455,5894,12885546,0,1,1.0,2.0,3,55,96.0,1.03,33,1.0,0,1.03,130,160.85227262520036
1456,5896,12886940,0,1,1.0,1.0,2,14,99.0,0.26,11,1.0,0,0.26,120,114.16824796671852
1457,5898,12895396,0,0,1.0,1.0,2,14,91.0,0.27,13,1.0,0,0.27,100,115.8989134009702
1458,5899,12896261,0,0,1.0,1.0,2,29,99.0,0.56,31,1.0,0,0.56,135,138.2413038581261
1459,5904,12902737,0,1,3.0,4.0,4,10,94.0,0.19,38,1.0,0,0.19,156,237.72276798699033
1460,5905,12903051,0,1,2.0,2.0,2,4,100.0,0.08,10,1.0,0,0.08,140,132.81983485561256
1461,5911,12919271,0,1,3.0,4.0,3,13,87.0,0.25,17,1.0,0,0.25,125,183.07346105246728
1462,5914,12920724,0,1,1.0,0.0,2,30,99.0,0.56,19,1.0,0,0.56,100,124.50685440542193
1463,5916,12925089,0,0,1.0,1.0,3,0,0.0,0.0,7,1.0,1,0.0,99,141.617001833472
