,beds,accommodates,price
738,2.0,4,$135.00
739,3.0,5,$295.00
740,1.0,2,$75.00
741,0.0,2,$75.00
742,4.0,4,$250.00
743,3.0,3,$140.00
744,5.0,4,$133.00
745,1.0,2,$90.00
746,2.0,3,$135.00
747,2.0,4,$159.00
748,2.0,3,$160.00
749,1.0,2,$150.00
750,2.0,3,$257.00
751,1.0,2,$84.00
752,3.0,7,$150.00
753,1.0,2,$99.00
754,0.0,4,$77.00
755,1.0,1,$74.00
756,1.0,2,$180.00
757,0.0,2,$130.00
758,1.0,4,$170.00
759,1.0,2,$65.00
760,0.0,2,$165.00
761,2.0,2,$93.00
762,0.0,2,$109.00
763,1.0,4,$150.00
764,2.0,4,$273.00
765,3.0,5,$220.00
766,1.0,2,$99.00
767,3.0,4,$199.00
768,3.0,4,$199.00
769,2.0,3,$150.00
770,1.0,3,$89.00
771,1.0,2,$88.00
772,1.0,2,$125.00
773,1.0,2,$138.00
774,4.0,4,$200.00
775,1.0,2,$121.00
776,3.0,3,$150.00
777,4.0,4,$150.00
778,1.0,2,$95.00
779,1.0,2,$110.00
780,2.0,4,$106.00
781,2.0,4,$100.00
782,1.0,2,$113.00
783,1.0,2,$149.00
784,2.0,4,$150.00
785,1.0,2,$179.00
786,1.0,2,$123.00
787,1.0,2,$149.00
788,3.0,4,$500.00
789,1.0,2,$92.00
790,1.0,2,$69.00
791,1.0,2,$121.00
792,0.0,2,$129.00
793,1.0,2,$110.00
794,3.0,2,$100.00
795,1.0,2,$69.00
796,1.0,4,$82.00
797,3.0,4,$110.00
798,2.0,3,$243.00
799,1.0,2,$100.00
800,4.0,4,$250.00
801,1.0,2,$80.00
802,1.0,2,$178.00
803,1.0,2,$155.00
804,0.0,2,$110.00
805,2.0,4,$139.00
806,1.0,2,$99.00
807,2.0,4,$350.00
808,2.0,3,$150.00
809,2.0,3,$120.00
810,1.0,2,$109.00
811,1.0,2,$171.00
812,1.0,2,$89.00
813,1.0,2,$148.00
814,1.0,2,$180.00
815,1.0,2,$135.00
816,3.0,4,$300.00
817,1.0,2,$220.00
818,1.0,2,$151.00
819,2.0,4,$99.00
820,1.0,4,$80.00
821,1.0,4,$107.86
822,1.0,2,$142.00
823,1.0,2,$150.00
824,1.0,2,$90.00
825,1.0,2,$145.00
826,0.0,3,$134.00
827,2.0,4,$249.00
828,2.0,4,$325.00
829,2.0,4,$279.00
830,1.0,4,$155.00
831,1.0,2,$150.00
832,1.0,2,$70.00
833,1.0,2,$70.00
834,1.0,2,$121.00
835,1.0,2,$99.00
836,4.0,4,$160.00
837,5.0,4,$285.00
838,1.0,2,$191.00
839,0.0,5,$75.00
840,1.0,2,$300.00
841,1.0,2,$103.00
842,2.0,2,$135.00
843,4.0,4,$105.00
844,2.0,2,$99.00
845,2.0,2,$80.00
846,2.0,2,$144.00
847,3.0,3,$154.00
848,3.0,3,$70.00
849,2.0,3,$300.00
850,1.0,2,$99.00
851,1.0,2,$80.00
852,1.0,2,$125.00
853,1.0,2,$118.00
854,1.0,2,$75.00
855,1.0,2,$50.00
856,1.0,2,$115.00
857,2.0,5,$157.14
858,2.0,4,$150.00
859,2.0,2,$215.00
860,1.0,2,$153.00
861,1.0,2,$65.00
862,1.0,2,$110.00
863,1.0,2,$200.00
864,1.0,2,$118.00
865,1.0,3,$159.00
866,1.0,2,$110.00
867,2.0,3,$70.00
868,1.0,2,$41.00
869,1.0,2,$119.00
